| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  3.28e+07    3.47 |    1.77    0.9     94     4 |    0.02   0.23   0.01   0.00
0  3.28e+07    3.47 |    1.86    1.0     93     1 |    0.02   0.24  -0.13   0.00
0  3.29e+07    3.47 |    2.67    0.9     95     3 |    0.02   0.24  -0.18   0.00
0  3.29e+07    3.47 |    1.99    0.8     97     4 |    0.02   0.25  -0.09   0.00
0  3.29e+07    3.47 |    2.22    1.1     95     3 |    0.02   0.20   0.13   0.00
0  3.29e+07    3.47 |    2.31    1.1     94     2 |    0.02   0.23  -0.03   0.00
0  3.30e+07    3.47 |    2.18    1.2     97     4 |    0.02   0.26  -0.17   0.00
0  3.30e+07    3.47 |    2.20    1.1     96     3 |    0.02   0.20  -0.14   0.00
0  3.30e+07    3.47 |    2.13    1.0     96     2 |    0.02   0.16   0.06   0.00
0  3.31e+07    3.47 |    2.81    1.0     94     4 |    0.02   0.19   0.00   0.00
0  3.31e+07    3.47 |    1.58    0.7     97     3 |    0.02   0.24  -0.10   0.00
0  3.31e+07    3.47 |    1.57    0.6     96     3 |    0.02   0.19   0.06   0.00
0  3.31e+07    3.47 |    2.65    0.9     96     2 |    0.02   0.19   0.12   0.00
0  3.32e+07    3.47 |    1.64    0.9     97     1 |    0.02   0.16  -0.06   0.00
0  3.32e+07    3.47 |    1.74    0.9     95     3 |    0.02   0.13  -0.00   0.00
0  3.32e+07    3.47 |    2.21    1.0     95     3 |    0.02   0.18   0.13   0.00
0  3.33e+07    3.47 |    2.19    1.0     95     3 |    0.02   0.17  -0.06   0.00
0  3.33e+07    3.47 |    1.73    1.1     97     3 |    0.02   0.19  -0.04   0.00
0  3.33e+07    3.47 |    1.66    0.8     96     2 |    0.02   0.18  -0.04   0.00
0  3.33e+07    3.47 |    1.63    0.8     96     2 |    0.02   0.24  -0.07   0.00
0  3.34e+07    3.47 |    1.21    0.1     96     3 |    0.02   0.20   0.00   0.00
0  3.34e+07    3.47 |    1.72    0.9     95     3 |    0.02   0.21  -0.08   0.00
0  3.34e+07    3.47 |    2.68    0.8     94     2 |    0.02   0.21   0.01   0.00
0  3.34e+07    3.47 |    1.84    0.8     99     1 |    0.02   0.16   0.08   0.00
0  3.35e+07    3.47 |    1.24    0.1     95     2 |    0.02   0.17   0.09   0.00
0  3.35e+07    3.47 |    2.08    1.1     98     3 |    0.02   0.17  -0.02   0.00
0  3.35e+07    3.47 |    2.31    0.7     99     1 |    0.02   0.14   0.03   0.00
0  3.36e+07    3.47 |    1.65    0.7     95     2 |    0.03   0.22  -0.02   0.00
0  3.36e+07    3.47 |    1.94    0.7     97     3 |    0.02   0.22   0.02   0.00
0  3.36e+07    3.47 |    2.26    1.1     95     2 |    0.02   0.16   0.04   0.00
0  3.36e+07    3.47 |    1.90    0.9     99     1 |    0.02   0.23  -0.05   0.00
0  3.37e+07    3.47 |    1.61    0.8     97     2 |    0.02   0.20   0.03   0.00
0  3.37e+07    3.47 |    1.14    0.2     97     4 |    0.02   0.14   0.14   0.00
0  3.37e+07    3.47 |    2.04    0.9     97     1 |    0.02   0.22  -0.06   0.00
0  3.37e+07    3.47 |    1.62    0.8     96     3 |    0.02   0.14   0.12   0.00
0  3.38e+07    3.47 |    1.59    0.6     96     3 |    0.02   0.21   0.06   0.00
0  3.38e+07    3.47 |    2.18    1.1     96     3 |    0.02   0.22   0.02   0.00
0  3.38e+07    3.47 |    1.23    0.1     95     2 |    0.02   0.19   0.03   0.00
0  3.39e+07    3.47 |    1.51    0.8     99     1 |    0.02   0.18  -0.06   0.00
0  3.39e+07    3.47 |    2.36    1.2     94     2 |    0.02   0.20   0.00   0.00
0  3.39e+07    3.47 |    2.55    0.8     96     1 |    0.02   0.23  -0.10   0.00
0  3.39e+07    3.47 |    2.52    0.8     96     4 |    0.02   0.24  -0.13   0.00
0  3.40e+07    3.47 |    1.69    0.9     96     2 |    0.02   0.18   0.06   0.00
0  3.40e+07    3.47 |    1.75    0.9     95     4 |    0.03   0.22   0.07   0.00
0  3.40e+07    3.47 |    1.27    0.1     94     3 |    0.02   0.15   0.04   0.00
0  3.41e+07    3.47 |    1.11    0.2     98     4 |    0.02   0.18  -0.10   0.00
0  3.41e+07    3.47 |    2.14    1.0     96     3 |    0.02   0.21  -0.03   0.00
0  3.41e+07    3.47 |    2.05    0.9     97     3 |    0.02   0.20   0.11   0.00
0  3.41e+07    3.47 |    2.72    0.8     94     2 |    0.02   0.21  -0.04   0.00
0  3.42e+07    3.47 |    1.20    0.1     96     3 |    0.02   0.18   0.03   0.00
0  3.42e+07    3.47 |    1.03    0.0    100     1 |    0.02   0.21  -0.00   0.00
0  3.42e+07    3.47 |    1.73    1.0     96     4 |    0.02   0.19   0.04   0.00
0  3.42e+07    3.47 |    1.16    0.1     97     4 |    0.02   0.22   0.11   0.00
0  3.43e+07    3.47 |    2.12    1.0     96     3 |    0.02   0.17   0.19   0.00
0  3.43e+07    3.47 |    1.47    0.6     99     1 |    0.02   0.21  -0.05   0.00
0  3.43e+07    3.47 |    1.63    1.0     98     3 |    0.02   0.19   0.13   0.00
0  3.44e+07    3.47 |    2.14    1.2     97     4 |    0.02   0.19   0.12   0.00
0  3.44e+07    3.47 |    1.67    0.7     94     3 |    0.02   0.21  -0.08   0.00
0  3.44e+07    3.47 |    1.65    0.7     96     3 |    0.02   0.14  -0.12   0.00
0  3.44e+07    3.47 |    1.63    0.9     98     2 |    0.02   0.19   0.13   0.00
0  3.45e+07    3.47 |    2.46    0.7     97     2 |    0.02   0.11   0.08   0.00
0  3.45e+07    3.47 |    1.57    0.8     98     1 |    0.02   0.16   0.12   0.00
0  3.45e+07    3.47 |    2.23    0.9     94     2 |    0.02   0.04  -0.04   0.00
0  3.46e+07    3.47 |    1.95    0.7     97     2 |    0.02   0.11  -0.13   0.00
0  3.46e+07    3.47 |    1.53    0.7     98     2 |    0.02   0.16  -0.10   0.00
0  3.46e+07    3.47 |    2.96    0.4     97     3 |    0.02   0.12  -0.03   0.00
0  3.46e+07    3.47 |    2.37    1.1     93     1 |    0.02   0.12  -0.19   0.00
0  3.47e+07    3.47 |    2.29    1.0     94     1 |    0.02   0.13  -0.00   0.00
0  3.47e+07    3.47 |    2.84    1.0     94     4 |    0.02   0.12  -0.06   0.00
0  3.47e+07    3.47 |    2.05    0.9     97     3 |    0.02   0.12  -0.04   0.00
0  3.48e+07    3.47 |    2.33    0.8     99     2 |    0.02   0.17   0.13   0.00
0  3.48e+07    3.47 |    1.81    1.1     94     3 |    0.02   0.14   0.06   0.00
0  3.48e+07    3.47 |    1.84    1.1     94     3 |    0.02   0.07   0.02   0.00
0  3.48e+07    3.47 |    1.73    0.6     93     3 |    0.02   0.12  -0.08   0.00
0  3.49e+07    3.47 |    2.53    0.9     97     2 |    0.02   0.18   0.03   0.00
0  3.49e+07    3.47 |    2.92    1.0     93     2 |    0.02   0.19   0.03   0.00
0  3.49e+07    3.47 |    2.06    0.9     96     3 |    0.02   0.15   0.07   0.00
0  3.50e+07    3.47 |    1.27    0.0     94     0 |    0.02   0.11   0.05   0.00
0  3.50e+07    3.47 |    1.47    0.7     99     2 |    0.02   0.15  -0.10   0.00
0  3.50e+07    3.47 |    2.58    0.9     97     3 |    0.02   0.08   0.15   0.00
0  3.50e+07    3.47 |    1.06    0.1     99     1 |    0.02   0.08   0.02   0.00
0  3.51e+07    3.47 |    1.57    0.7     97     3 |    0.02   0.09  -0.01   0.00
0  3.51e+07    3.47 |    1.70    1.0     96     3 |    0.02   0.10   0.01   0.00
0  3.51e+07    3.47 |    1.88    1.0     92     2 |    0.02   0.16  -0.09   0.00
0  3.52e+07    3.47 |    2.24    1.1     95     4 |    0.02   0.12   0.18   0.00
0  3.52e+07    3.47 |    2.18    1.0     96     2 |    0.02   0.14  -0.03   0.00
0  3.52e+07    3.47 |    2.52    0.8     96     4 |    0.02   0.14  -0.10   0.00
0  3.52e+07    3.47 |    1.03    0.0    100     1 |    0.02   0.11   0.03   0.00
0  3.53e+07    3.47 |    2.18    0.9     94     2 |    0.02   0.05  -0.07   0.00
0  3.53e+07    3.47 |    1.74    0.9     94     2 |    0.02   0.17   0.01   0.00
0  3.53e+07    3.47 |    2.11    0.9     96     2 |    0.03   0.12   0.07   0.00
0  3.53e+07    3.47 |    2.00    0.8     97     1 |    0.03   0.12  -0.14   0.00
0  3.54e+07    3.47 |    1.67    0.6     94     3 |    0.02   0.08   0.07   0.00
0  3.54e+07    3.47 |    2.77    1.0     95     2 |    0.02   0.08  -0.08   0.00
0  3.54e+07    3.47 |    2.02    0.7     96     3 |    0.02   0.11   0.13   0.00
0  3.55e+07    3.47 |    2.12    1.0     97     2 |    0.02   0.10  -0.03   0.00
0  3.55e+07    3.47 |    1.17    0.1     96     3 |    0.02   0.16  -0.11   0.00
0  3.55e+07    3.47 |    2.61    0.9     96     3 |    0.02   0.11  -0.18   0.00
0  3.55e+07    3.47 |    1.96    0.8     98     2 |    0.02   0.15   0.03   0.00
0  3.56e+07    3.47 |    1.29    0.1     94     2 |    0.02   0.15   0.02   0.00
0  3.56e+07    3.47 |    1.52    0.6     98     2 |    0.02   0.19  -0.04   0.00
0  3.56e+07    3.47 |    1.78    1.1     96     3 |    0.02   0.18  -0.09   0.00
0  3.56e+07    3.47 |    2.12    0.9     96     2 |    0.02   0.20  -0.00   0.00
0  3.57e+07    3.47 |    2.30    1.2     95     3 |    0.02   0.18   0.17   0.00
0  3.57e+07    3.47 |    1.95    0.8     98     3 |    0.02   0.14   0.08   0.00
0  3.57e+07    3.47 |    1.58    0.7     97     3 |    0.01   0.05   0.02   0.00
0  3.58e+07    3.47 |    2.55    0.8     96     3 |    0.02   0.21   0.01   0.00
0  3.58e+07    3.47 |    2.15    1.0     95     3 |    0.02   0.19  -0.02   0.00
0  3.58e+07    3.47 |    2.17    1.0     95     1 |    0.02   0.20  -0.02   0.00
0  3.58e+07    3.47 |    1.74    1.0     96     4 |    0.02   0.15   0.03   0.00
0  3.59e+07    3.47 |    2.60    0.9     96     3 |    0.02   0.22  -0.06   0.00
0  3.59e+07    3.47 |    1.86    1.1     94     4 |    0.02   0.23  -0.01   0.00
0  3.59e+07    3.47 |    2.05    0.8     96     3 |    0.02   0.20  -0.21   0.00
0  3.60e+07    3.47 |    2.24    1.1     95     4 |    0.02   0.22  -0.05   0.00
0  3.60e+07    3.47 |    2.50    0.9     97     4 |    0.02   0.20  -0.00   0.00
0  3.60e+07    3.47 |    2.35    0.6     97     4 |    0.03   0.17  -0.19   0.00
0  3.61e+07    3.47 |    2.06    0.9     96     1 |    0.02   0.12   0.02   0.00
0  3.61e+07    3.47 |    1.56    0.6     96     3 |    0.02   0.17   0.08   0.00
0  3.61e+07    3.47 |    2.65    0.9     95     3 |    0.02   0.18   0.12   0.00
0  3.62e+07    3.47 |    2.15    1.0     96     4 |    0.02   0.18  -0.02   0.00
0  3.62e+07    3.47 |    2.36    0.8     98     2 |    0.02   0.13   0.13   0.00
0  3.62e+07    3.47 |    3.13    0.3     95     3 |    0.02   0.14   0.04   0.00
0  3.62e+07    3.47 |    2.46    1.2     92     2 |    0.02   0.21   0.01   0.00
0  3.63e+07    3.47 |    2.12    1.0     96     3 |    0.02   0.17   0.20   0.00
0  3.63e+07    3.47 |    2.09    1.0     96     2 |    0.02   0.23  -0.06   0.00
0  3.63e+07    3.47 |    1.86    0.9     92     1 |    0.02   0.20   0.07   0.00
0  3.64e+07    3.47 |    1.68    0.9     96     2 |    0.02   0.21  -0.01   0.00
0  3.64e+07    3.47 |    1.52    0.7     98     0 |    0.02   0.19   0.08   0.00
0  3.64e+07    3.47 |    1.74    1.0     95     3 |    0.02   0.14   0.18   0.00
0  3.65e+07    3.47 |    3.33    0.4     94     3 |    0.02   0.13  -0.09   0.00
0  3.65e+07    3.47 |    1.94    0.8     98     2 |    0.02   0.15   0.04   0.00
0  3.65e+07    3.47 |    1.22    0.1     95     2 |    0.02   0.17  -0.09   0.00
0  3.65e+07    3.47 |    2.48    0.9     98     4 |    0.02   0.21  -0.07   0.00
0  3.66e+07    3.47 |    1.12    0.2     98     4 |    0.02   0.21  -0.20   0.00
0  3.66e+07    3.47 |    2.63    0.8     95     3 |    0.02   0.21   0.09   0.00
0  3.66e+07    3.47 |    1.53    0.7     98     1 |    0.02   0.22  -0.02   0.00
0  3.67e+07    3.47 |    1.23    0.1     95     3 |    0.02   0.24  -0.14   0.00
0  3.67e+07    3.47 |    2.84    1.0     94     3 |    0.02   0.20   0.09   0.00
0  3.67e+07    3.47 |    2.33    1.1     94     1 |    0.02   0.16   0.18   0.00
0  3.68e+07    3.47 |    1.78    0.9     94     1 |    0.02   0.18  -0.13   0.00
0  3.68e+07    3.47 |    1.95    0.9     98     1 |    0.02   0.15   0.00   0.00
0  3.68e+07    3.47 |    2.36    0.8     98     2 |    0.02   0.21  -0.12   0.00
0  3.69e+07    3.47 |    2.04    0.8     96     1 |    0.02   0.23  -0.00   0.00
0  3.69e+07    3.47 |    1.66    0.9     96     1 |    0.02   0.22  -0.00   0.00
0  3.69e+07    3.47 |    2.30    1.1     94     4 |    0.02   0.22  -0.15   0.00
0  3.69e+07    3.47 |    2.40    1.1     93     2 |    0.02   0.18  -0.01   0.00
0  3.70e+07    3.47 |    1.86    1.0     93     1 |    0.02   0.17   0.03   0.00
0  3.70e+07    3.47 |    1.65    0.9     96     3 |    0.02   0.19   0.02   0.00
0  3.70e+07    3.47 |    2.72    1.0     95     3 |    0.02   0.20   0.03   0.00
0  3.71e+07    3.47 |    1.14    0.1     97     2 |    0.02   0.19  -0.06   0.00
0  3.71e+07    3.47 |    1.75    0.8     94     2 |    0.02   0.21  -0.01   0.00
0  3.71e+07    3.47 |    2.53    0.7     96     3 |    0.02   0.17  -0.08   0.00
0  3.72e+07    3.47 |    1.12    0.2     98     4 |    0.02   0.24  -0.07   0.00
0  3.72e+07    3.47 |    1.06    0.0     99     1 |    0.02   0.18  -0.01   0.00
0  3.72e+07    3.47 |    1.51    0.9     99     2 |    0.02   0.21   0.01   0.00
0  3.73e+07    3.47 |    2.15    1.0     96     1 |    0.02   0.21  -0.05   0.00
0  3.73e+07    3.47 |    1.98    0.8     97     2 |    0.02   0.18   0.05   0.00
0  3.73e+07    3.47 |    1.72    1.0     96     4 |    0.02   0.23   0.08   0.00
0  3.73e+07    3.47 |    2.47    0.8     97     2 |    0.02   0.15   0.07   0.00
0  3.74e+07    3.47 |    1.09    0.1     98     2 |    0.02   0.13   0.13   0.00
0  3.74e+07    3.47 |    1.60    0.9     98     2 |    0.02   0.20  -0.02   0.00
0  3.74e+07    3.47 |    2.30    1.3     96     4 |    0.02   0.20   0.09   0.00
0  3.75e+07    3.47 |    2.10    1.0     97     2 |    0.02   0.19  -0.12   0.00
0  3.75e+07    3.47 |    1.75    1.0     96     3 |    0.02   0.20  -0.01   0.00
0  3.75e+07    3.47 |    2.39    1.2     94     4 |    0.02   0.22   0.05   0.00
0  3.76e+07    3.47 |    2.26    1.1     94     4 |    0.02   0.24  -0.18   0.00
0  3.76e+07    3.47 |    1.86    1.0     93     2 |    0.02   0.15   0.13   0.00
0  3.76e+07    3.47 |    2.50    0.8     96     2 |    0.03   0.22  -0.08   0.00
0  3.77e+07    3.47 |    3.08    0.4     96     4 |    0.02   0.20  -0.06   0.00
0  3.77e+07    3.47 |    2.52    0.9     97     2 |    0.02   0.24  -0.04   0.00
0  3.77e+07    3.47 |    1.76    1.0     95     3 |    0.02   0.22  -0.03   0.00
0  3.77e+07    3.47 |    1.70    1.1     97     4 |    0.02   0.20   0.06   0.00
0  3.78e+07    3.47 |    1.64    1.0     98     3 |    0.02   0.14   0.08   0.00
0  3.78e+07    3.47 |    2.27    1.2     95     4 |    0.02   0.18  -0.16   0.00
0  3.78e+07    3.47 |    2.24    1.1     95     4 |    0.02   0.21   0.03   0.00
0  3.79e+07    3.47 |    1.76    1.0     95     4 |    0.02   0.18  -0.03   0.00
0  3.79e+07    3.47 |    2.21    1.1     96     4 |    0.02   0.21   0.02   0.00
0  3.79e+07    3.47 |    1.77    0.8     94     2 |    0.02   0.21  -0.13   0.00
0  3.80e+07    3.47 |    1.59    0.7     96     3 |    0.02   0.21  -0.10   0.00
0  3.80e+07    3.47 |    1.70    0.8     95     3 |    0.02   0.20   0.10   0.00
0  3.80e+07    3.47 |    1.48    0.6     98     2 |    0.02   0.18  -0.09   0.00
0  3.81e+07    3.47 |    2.20    1.0     95     2 |    0.02   0.24  -0.21   0.00
0  3.81e+07    3.47 |    2.63    0.8     95     4 |    0.02   0.19  -0.06   0.00
0  3.81e+07    3.47 |    1.83    0.9     93     1 |    0.02   0.10   0.06   0.00
0  3.81e+07    3.47 |    2.18    1.0     95     2 |    0.02   0.12   0.06   0.00
0  3.82e+07    3.47 |    1.76    1.0     95     4 |    0.02   0.16  -0.02   0.00
0  3.82e+07    3.47 |    1.99    0.8     97     3 |    0.02   0.23  -0.04   0.00
0  3.82e+07    3.47 |    2.39    1.2     94     4 |    0.03   0.22   0.00   0.00
0  3.83e+07    3.47 |    2.63    0.8     95     0 |    0.01   0.08  -0.05   0.00
0  3.83e+07    3.47 |    2.15    0.9     96     1 |    0.02   0.18  -0.17   0.00
0  3.83e+07    3.47 |    2.07    0.8     96     3 |    0.02   0.20  -0.02   0.00
0  3.84e+07    3.47 |    2.05    0.9     97     2 |    0.02   0.19   0.07   0.00
0  3.84e+07    3.47 |    1.80    1.1     95     3 |    0.02   0.16   0.08   0.00
0  3.84e+07    3.47 |    2.12    0.8     95     2 |    0.02   0.11  -0.11   0.00
0  3.85e+07    3.47 |    2.95    0.2     97     2 |    0.02   0.16  -0.02   0.00
0  3.85e+07    3.47 |    1.55    0.8     98     3 |    0.02   0.16   0.17   0.00
0  3.85e+07    3.47 |    1.94    0.9     98     2 |    0.02   0.20   0.03   0.00
0  3.85e+07    3.47 |    1.15    0.1     97     3 |    0.02   0.17   0.10   0.00
0  3.86e+07    3.47 |    2.16    1.0     96     3 |    0.02   0.16  -0.06   0.00
0  3.86e+07    3.47 |    1.28    0.1     94     4 |    0.02   0.12   0.01   0.00
0  3.86e+07    3.47 |    2.27    1.2     95     3 |    0.02   0.20  -0.01   0.00
0  3.87e+07    3.47 |    1.80    1.1     95     3 |    0.02   0.20   0.01   0.00
0  3.87e+07    3.47 |    1.22    0.1     95     2 |    0.02   0.15  -0.01   0.00
0  3.87e+07    3.47 |    2.56    0.9     96     2 |    0.02   0.24  -0.12   0.00
0  3.88e+07    3.47 |    2.08    1.0     97     3 |    0.02   0.20   0.04   0.00
0  3.88e+07    3.47 |    2.39    1.3     95     4 |    0.02   0.15   0.04   0.00
0  3.88e+07    3.47 |    1.56    0.6     96     3 |    0.02   0.13  -0.07   0.00
0  3.89e+07    3.47 |    2.31    1.1     94     4 |    0.02   0.16  -0.05   0.00
0  3.89e+07    3.47 |    2.20    1.0     95     3 |    0.02   0.17  -0.05   0.00
0  3.89e+07    3.47 |    1.60    0.8     97     2 |    0.02   0.23  -0.12   0.00
0  3.89e+07    3.47 |    1.63    0.7     96     3 |    0.02   0.19   0.20   0.00
0  3.90e+07    3.47 |    1.62    0.7     96     3 |    0.02   0.21   0.11   0.00
0  3.90e+07    3.47 |    1.63    0.7     96     2 |    0.02   0.22  -0.03   0.00
0  3.90e+07    3.47 |    1.89    0.8     98     2 |    0.02   0.16   0.04   0.00
0  3.91e+07    3.47 |    2.25    1.2     96     3 |    0.02   0.22  -0.15   0.00
0  3.91e+07    3.47 |    2.40    1.1     93     1 |    0.02   0.19  -0.06   0.00
0  3.91e+07    3.47 |    2.02    0.7     96     4 |    0.02   0.18  -0.00   0.00
0  3.92e+07    3.47 |    2.01    0.9     98     2 |    0.02   0.17   0.07   0.00
0  3.92e+07    3.47 |    2.29    1.2     95     4 |    0.02   0.18  -0.09   0.00
0  3.92e+07    3.47 |    1.21    0.1     96     2 |    0.02   0.20   0.11   0.00
0  3.93e+07    3.47 |    1.80    1.1     95     4 |    0.02   0.21  -0.00   0.00
0  3.93e+07    3.47 |    1.48    0.7     99     1 |    0.02   0.13   0.20   0.00
0  3.93e+07    3.47 |    1.70    1.0     96     4 |    0.02   0.23  -0.06   0.00
0  3.93e+07    3.47 |    1.13    0.1     98     3 |    0.02   0.23  -0.18   0.00
0  3.94e+07    3.47 |    1.55    0.7     98     1 |    0.02   0.17   0.07   0.00
0  3.94e+07    3.47 |    1.15    0.0     97     1 |    0.02   0.21  -0.16   0.00
0  3.94e+07    3.47 |    1.52    0.6     98     3 |    0.02   0.19   0.08   0.00
0  3.95e+07    3.47 |    2.67    0.9     95     3 |    0.02   0.22   0.04   0.00
0  3.95e+07    3.47 |    1.58    0.8     97     1 |    0.02   0.20   0.07   0.00
0  3.95e+07    3.47 |    2.70    0.9     95     2 |    0.02   0.18   0.04   0.00
0  3.96e+07    3.47 |    1.93    0.7     97     2 |    0.02   0.22  -0.01   0.00
0  3.96e+07    3.47 |    1.66    0.7     95     3 |    0.02   0.23  -0.05   0.00
0  3.96e+07    3.47 |    1.27    0.1     94     2 |    0.02   0.26  -0.20   0.00
0  3.96e+07    3.47 |    1.53    0.7     98     2 |    0.02   0.21  -0.08   0.00
0  3.97e+07    3.47 |    2.28    1.1     95     3 |    0.02   0.20  -0.07   0.00
0  3.97e+07    3.47 |    1.87    0.8     99     0 |    0.02   0.21   0.02   0.00
0  3.97e+07    3.47 |    1.71    0.9     96     3 |    0.02   0.14   0.07   0.00
0  3.98e+07    3.47 |    1.64    1.0     98     3 |    0.03   0.24   0.08   0.00
0  3.98e+07    3.47 |    1.61    0.6     96     3 |    0.02   0.18   0.11   0.00
0  3.98e+07    3.47 |    3.10    0.3     96     2 |    0.02   0.21  -0.08   0.00
0  3.99e+07    3.47 |    1.73    0.8     94     1 |    0.02   0.19  -0.01   0.00
0  3.99e+07    3.47 |    2.17    1.1     97     3 |    0.02   0.22  -0.07   0.00
0  3.99e+07    3.47 |    1.50    0.7     99     1 |    0.02   0.20   0.11   0.00
0  4.00e+07    3.47 |    2.40    0.6     97     3 |    0.02   0.15   0.09   0.00
0  4.00e+07    3.47 |    2.05    1.0     98     2 |    0.02   0.22  -0.15   0.00
0  4.00e+07    3.47 |    2.06    0.9     96     3 |    0.02   0.13   0.33   0.00
0  4.00e+07    3.47 |    2.25    1.1     95     2 |    0.02   0.25  -0.16   0.00
0  4.01e+07    3.47 |    1.63    0.7     96     2 |    0.02   0.16   0.09   0.00
0  4.01e+07    3.47 |    2.72    1.0     95     4 |    0.02   0.23   0.07   0.00
0  4.01e+07    3.47 |    3.05    0.3     96     3 |    0.02   0.11   0.10   0.00
0  4.02e+07    3.47 |    2.14    0.9     95     2 |    0.02   0.17   0.07   0.00
0  4.02e+07    3.47 |    2.28    1.2     96     4 |    0.02   0.20   0.18   0.00
0  4.02e+07    3.47 |    1.15    0.1     97     4 |    0.02   0.23   0.15   0.00
0  4.03e+07    3.47 |    1.71    1.0     96     2 |    0.02   0.15  -0.01   0.00
0  4.03e+07    3.47 |    2.61    0.9     96     3 |    0.02   0.23  -0.02   0.00
0  4.03e+07    3.47 |    2.20    1.0     95     2 |    0.02   0.17  -0.01   0.00
0  4.04e+07    3.47 |    2.75    1.0     95     3 |    0.02   0.17   0.13   0.00
0  4.04e+07    3.47 |    2.19    1.0     95     3 |    0.02   0.20  -0.03   0.00
0  4.04e+07    3.47 |    2.81    0.9     94     2 |    0.02   0.22  -0.05   0.00
0  4.04e+07    3.47 |    2.07    0.8     96     3 |    0.02   0.16  -0.01   0.00
0  4.05e+07    3.47 |    2.72    1.0     95     3 |    0.02   0.14   0.01   0.00
0  4.05e+07    3.47 |    2.53    0.9     97     3 |    0.02   0.20   0.01   0.00
0  4.05e+07    3.47 |    2.14    1.1     97     3 |    0.02   0.14   0.11   0.00
0  4.06e+07    3.47 |    1.63    0.6     95     2 |    0.02   0.15   0.04   0.00
0  4.06e+07    3.47 |    1.81    1.0     94     2 |    0.02   0.19  -0.08   0.00
0  4.06e+07    3.47 |    1.50    0.7     98     4 |    0.02   0.20  -0.04   0.00
0  4.07e+07    3.47 |    1.66    0.9     96     4 |    0.02   0.12  -0.00   0.00
0  4.07e+07    3.47 |    3.05    1.1     92     2 |    0.02   0.15  -0.14   0.00
0  4.07e+07    3.47 |    1.14    0.2     97     4 |    0.03   0.21   0.05   0.00
0  4.08e+07    3.47 |    1.14    0.0     97     1 |    0.02   0.22  -0.03   0.00
0  4.08e+07    3.47 |    1.78    0.9     94     2 |    0.02   0.19  -0.06   0.00
0  4.08e+07    3.47 |    2.10    1.1     98     3 |    0.02   0.16   0.14   0.00
0  4.08e+07    3.47 |    1.77    1.1     96     4 |    0.02   0.20  -0.04   0.00
0  4.09e+07    3.47 |    1.95    0.8     98     2 |    0.02   0.20   0.07   0.00
0  4.09e+07    3.47 |    1.89    0.8     99     1 |    0.02   0.22   0.04   0.00
0  4.09e+07    3.47 |    1.49    0.6     98     4 |    0.02   0.23  -0.13   0.00
0  4.10e+07    3.47 |    1.61    0.9     98     2 |    0.02   0.07   0.01   0.00
0  4.10e+07    3.47 |    2.71    0.9     94     2 |    0.02   0.17   0.00   0.00
0  4.10e+07    3.47 |    2.40    0.7     98     1 |    0.02   0.13   0.02   0.00
0  4.11e+07    3.47 |    2.12    0.9     96     3 |    0.02   0.14  -0.12   0.00
0  4.11e+07    3.47 |    2.18    1.0     95     3 |    0.02   0.21  -0.11   0.00
0  4.11e+07    3.47 |    2.53    0.8     96     1 |    0.02   0.20   0.18   0.00
0  4.12e+07    3.47 |    3.04    1.1     92     3 |    0.02   0.18  -0.12   0.00
0  4.12e+07    3.47 |    2.44    1.1     92     1 |    0.01   0.11   0.06   0.00
0  4.12e+07    3.47 |    2.84    1.0     94     1 |    0.02   0.22   0.08   0.00
0  4.12e+07    3.47 |    1.66    0.9     96     3 |    0.02   0.19   0.02   0.00
0  4.13e+07    3.47 |    2.35    0.7     98     1 |    0.02   0.20  -0.13   0.00
0  4.13e+07    3.47 |    2.69    0.9     96     2 |    0.02   0.19   0.11   0.00
0  4.13e+07    3.47 |    1.69    0.9     96     2 |    0.02   0.23   0.00   0.00
0  4.14e+07    3.47 |    2.34    1.2     94     3 |    0.02   0.19  -0.11   0.00
0  4.14e+07    3.47 |    2.02    0.8     97     3 |    0.02   0.20   0.03   0.00
0  4.14e+07    3.47 |    1.17    0.1     96     3 |    0.02   0.18   0.04   0.00
0  4.15e+07    3.47 |    1.48    0.6     98     2 |    0.02   0.20   0.03   0.00
0  4.15e+07    3.47 |    2.31    1.2     95     4 |    0.02   0.22   0.04   0.00
0  4.15e+07    3.47 |    2.09    0.9     96     3 |    0.02   0.24  -0.11   0.00
0  4.16e+07    3.47 |    1.86    1.0     94     3 |    0.02   0.22   0.08   0.00
0  4.16e+07    3.47 |    1.66    0.6     94     3 |    0.02   0.21  -0.19   0.00
0  4.16e+07    3.47 |    2.63    0.8     96     2 |    0.02   0.23  -0.05   0.00
0  4.16e+07    3.47 |    1.45    0.7     99     1 |    0.02   0.16   0.07   0.00
0  4.17e+07    3.47 |    1.82    1.1     94     3 |    0.02   0.20   0.06   0.00
0  4.17e+07    3.47 |    1.91    0.8     99     1 |    0.02   0.20  -0.04   0.00
0  4.17e+07    3.47 |    1.74    1.0     95     3 |    0.02   0.19   0.02   0.00
0  4.18e+07    3.47 |    1.49    0.8     99     1 |    0.02   0.23  -0.21   0.00
0  4.18e+07    3.47 |    2.21    0.8     94     3 |    0.02   0.19   0.05   0.00
0  4.18e+07    3.47 |    2.44    0.9     98     3 |    0.02   0.24  -0.20   0.00
0  4.19e+07    3.47 |    2.46    0.8     97     3 |    0.02   0.17  -0.02   0.00
