| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  3.87e+06    3.10 |    2.60    0.8     96     1 |    0.02   0.23   0.32   0.00
0  3.90e+06    3.10 |    1.65    0.9     96     3 |   -2.30   0.00   0.33   0.00
0  3.93e+06    3.10 |  -50.00    0.0     21     0 |    0.02   0.29   0.28   0.00
0  3.96e+06    3.10 |    2.35    1.2     94     3 |    0.02   0.24   0.20   0.00
0  3.99e+06    3.10 |    1.74    1.0     96     4 |    0.02   0.22   0.25   0.00
0  4.02e+06    3.10 |    1.51    0.6     98     3 |    0.02   0.19   0.22   0.00
0  4.05e+06    3.10 |    2.08    1.1     98     3 |    0.02   0.15   0.34   0.00
0  4.08e+06    3.10 |    2.12    0.9     96     2 |    0.02   0.15   0.33   0.00
0  4.10e+06    3.10 |    2.69    0.8     94     2 |    0.02   0.22   0.26   0.00
0  4.13e+06    3.10 |    2.75    0.8     94     3 |    0.02   0.20   0.34   0.00
0  4.16e+06    3.10 |  -50.00    0.0     21     0 |   -2.30   0.00   0.29   0.00
0  4.19e+06    3.10 |    1.73    0.8     94     2 |    0.02   0.21   0.29   0.00
0  4.22e+06    3.10 |    1.26    0.1     94     3 |    0.02   0.23   0.33   0.00
0  4.25e+06    3.10 |    1.99    0.9     98     2 |    0.02   0.20   0.26   0.00
0  4.28e+06    3.10 |    2.17    0.8     94     3 |    0.02   0.16   0.27   0.00
0  4.31e+06    3.10 |    1.60    0.7     96     1 |    0.02   0.20   0.35   0.00
0  4.33e+06    3.10 |    1.70    1.0     96     3 |    0.02   0.17   0.27   0.00
0  4.36e+06    3.10 |    2.70    0.8     94     2 |    0.02   0.15   0.19   0.00
0  4.39e+06    3.10 |    2.88    0.9     93     1 |    0.02   0.23   0.24   0.00
0  4.42e+06    3.10 |    2.11    1.0     97     2 |    0.02   0.15   0.19   0.00
0  4.45e+06    3.10 |    1.61    0.7     96     2 |    0.02   0.18   0.25   0.00
0  4.48e+06    3.10 |    1.64    0.7     96     1 |    0.02   0.21   0.31   0.00
0  4.51e+06    3.10 |    1.16    0.1     96     2 |    0.02   0.21   0.28   0.00
0  4.54e+06    3.10 |    2.30    1.0     94     3 |    0.02   0.14   0.24   0.00
0  4.57e+06    3.10 |    2.13    1.0     96     3 |    0.02   0.15   0.26   0.00
0  4.59e+06    3.10 |    1.69    0.8     95     2 |    0.03   0.15   0.29   0.00
0  4.62e+06    3.10 |    1.91    0.8     98     0 |    0.02   0.20   0.29   0.00
0  4.65e+06    3.10 |    1.21    0.1     96     3 |    0.02   0.21   0.28   0.00
0  4.68e+06    3.10 |    2.27    1.1     95     4 |    0.02   0.14   0.27   0.00
0  4.71e+06    3.10 |    1.64    0.7     95     3 |    0.01   0.04   0.23   0.00
0  4.74e+06    3.10 |    1.76    1.1     96     4 |    0.02   0.19   0.30   0.00
0  4.77e+06    3.10 |    2.18    0.9     94     2 |    0.02   0.20   0.27   0.00
0  4.80e+06    3.10 |    2.64    0.8     95     2 |    0.02   0.19   0.28   0.00
0  4.82e+06    3.10 |    2.03    0.8     96     3 |    0.02   0.15   0.26   0.00
0  4.85e+06    3.10 |    1.62    0.8     97     2 |    0.02   0.20   0.30   0.00
0  4.88e+06    3.10 |    2.77    0.9     94     3 |    0.02   0.21   0.38   0.00
0  4.91e+06    3.10 |    2.09    1.0     97     4 |    0.02   0.16   0.28   0.00
0  4.94e+06    3.10 |    1.27    0.1     94     2 |    0.02   0.12   0.26   0.00
0  4.97e+06    3.10 |    2.07    0.8     96     2 |    0.02   0.15   0.34   0.00
0  5.00e+06    3.10 |    1.87    0.9     92     1 |    0.02   0.13   0.26   0.00
0  5.03e+06    3.10 |    2.19    1.1     96     4 |    0.02   0.19   0.32   0.00
0  5.06e+06    3.10 |    1.27    0.1     94     2 |    0.02   0.24   0.24   0.00
0  5.08e+06    3.10 |    2.72    1.0     95     4 |    0.02   0.22   0.28   0.00
0  5.11e+06    3.10 |    2.02    0.7     96     3 |    0.02   0.18   0.34   0.00
0  5.14e+06    3.10 |    2.46    1.1     92     1 |    0.02   0.14   0.22   0.00
0  5.17e+06    3.10 |    2.37    1.2     94     3 |    0.02   0.23   0.29   0.00
0  5.20e+06    3.10 |    1.93    0.8     98     2 |    0.02   0.11   0.33   0.00
0  5.23e+06    3.10 |    1.14    0.1     97     3 |    0.02   0.12   0.37   0.00
0  5.26e+06    3.10 |    1.83    1.0     94     3 |    0.02   0.13   0.31   0.00
0  5.28e+06    3.10 |    2.13    0.9     95     2 |    0.02   0.11   0.29   0.00
0  5.31e+06    3.10 |    2.18    1.1     96     3 |    0.02   0.19   0.27   0.00
0  5.34e+06    3.10 |    1.22    0.1     95     3 |    0.03   0.21   0.30   0.00
0  5.37e+06    3.10 |    1.76    0.8     94     2 |    0.02   0.13   0.32   0.00
0  5.40e+06    3.10 |    2.69    0.9     95     3 |    0.02   0.18   0.33   0.00
0  5.43e+06    3.10 |    2.26    1.0     94     2 |    0.02   0.19   0.31   0.00
0  5.46e+06    3.10 |    1.76    0.9     94     2 |    0.02   0.18   0.36   0.00
0  5.48e+06    3.10 |    1.16    0.1     97     2 |    0.02   0.15   0.36   0.00
0  5.51e+06    3.10 |    1.26    0.1     94     2 |    0.02   0.19   0.24   0.00
0  5.54e+06    3.10 |    2.08    1.0     97     2 |    0.03   0.16   0.32   0.00
0  5.57e+06    3.10 |    1.92    0.8     98     1 |    0.03   0.16   0.28   0.00
0  5.59e+06    3.10 |    2.72    0.9     95     2 |    0.03   0.16   0.35   0.00
0  5.62e+06    3.10 |    1.67    0.8     96     2 |    0.02   0.23   0.29   0.00
